rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,True_count,True_percentage,False_count,False_percentage
44,262,44.0784,0.07134252279853052,5.467597946416908,15.724315253840388,0,10,4.0,40.0,6.0,60.0
45,163,43.84420000000001,0.10569016040207205,6.301162217491582,17.59982930938694,0,10,6.0,60.0,4.0,40.0
46,214,43.443200000000004,0.08441715200232017,5.615108361701333,16.18212826986194,0,10,5.0,50.0,5.0,50.0
47,154,43.285399999999996,0.09838286165141205,5.422950348567907,15.797812243595084,0,10,6.0,60.0,4.0,40.0
48,228,43.1893,0.10466957674694936,5.630272500377487,16.25195935210891,0,10,7.0,70.0,3.0,30.0
49,180,42.8568,0.0751437138351474,6.504795597314259,18.009540226180995,0,10,3.0,30.0,7.0,70.0
50,20,42.8345,0.1296347138788741,6.390605917290119,17.496446061071076,0,10,6.0,60.0,4.0,40.0
51,192,42.7149,0.11602123773446986,5.373257727385067,15.745241837915055,0,10,7.0,70.0,3.0,30.0
52,243,42.505199999999995,0.11131602600639079,5.800809490712746,16.484622936502955,0,10,7.0,70.0,3.0,30.0
53,257,42.4674,0.146803183907769,5.643430936476202,16.075981233958977,0,10,9.0,90.0,1.0,10.0
54,30,42.3748,0.16969629973303763,5.850506882802741,16.669538883814703,0,10,10.0,100.0,,
55,108,42.14079999999999,0.11003611167134335,5.343842566833177,15.679099485020293,0,10,6.0,60.0,4.0,40.0
56,263,42.14079999999999,0.12388405276371164,6.344581727061234,17.657688572331686,0,10,7.0,70.0,3.0,30.0
57,250,41.4455,0.11926102996365044,5.6146513864691086,16.168306961502346,0,10,6.0,60.0,4.0,40.0
58,226,41.438399999999994,0.12075502502189375,5.327629435883347,15.594263060330823,0,10,6.0,60.0,4.0,40.0
59,81,41.41700000000001,0.1438683124174797,5.56887755853364,16.137704148619754,0,10,9.0,90.0,1.0,10.0
60,164,40.9694,0.1520815033062916,5.7954269536820515,16.445087994074175,0,10,9.0,90.0,1.0,10.0
61,196,40.54950000000001,0.10741627726956089,5.9162922466223025,16.790405310659946,0,10,6.0,60.0,4.0,40.0
62,273,40.5186,0.09982445569157677,5.670107036493713,16.331628424341368,0,10,5.0,50.0,5.0,50.0
63,93,40.3832,0.10679111494483398,6.295621811075344,17.474247577228148,0,10,5.0,50.0,5.0,50.0
64,86,40.29969999999999,0.1036101432170713,5.644549855656556,16.172103666390576,0,10,5.0,50.0,5.0,50.0
65,212,40.2934,0.0978393617674999,5.838834058878862,16.659396127403294,0,10,5.0,50.0,5.0,50.0
66,27,39.9755,0.16298778821474208,7.408422035788618,19.492346890430202,0,10,7.0,70.0,3.0,30.0
67,217,39.8235,0.12186952968138462,6.018191262844651,17.03388740009308,0,10,7.0,70.0,3.0,30.0
68,193,39.5786,0.1170601351804085,5.744091324839957,16.456707767889135,0,10,3.0,30.0,7.0,70.0
69,288,39.3587,0.11994492661865944,5.20746481387721,15.353933816318545,0,10,6.0,60.0,4.0,40.0
70,209,39.12400000000001,0.15076921841913993,6.390844087462679,17.75499896917605,0,10,6.0,60.0,4.0,40.0
71,112,39.1182,0.16716279218823749,6.0288017864503525,17.05755260445318,0,10,10.0,100.0,,
72,277,38.8176,0.14279039145838218,5.987006791428421,16.97273996600176,0,10,7.0,70.0,3.0,30.0
73,240,38.741800000000005,0.11233366899590529,5.856473780079808,16.535820959364695,0,10,5.0,50.0,5.0,50.0
74,218,38.6964,0.13227987365336968,6.167217762942899,17.19855703610248,0,10,7.0,70.0,3.0,30.0
75,85,38.4603,0.13312198864581345,6.103206207008144,16.99553177502286,0,10,6.0,60.0,4.0,40.0
76,239,37.4168,0.12937252693355053,5.510507431913697,15.843888263032479,0,10,6.0,60.0,4.0,40.0
77,242,37.171299999999995,0.15734904132984648,5.292906448861309,15.579660062630001,0,10,9.0,90.0,1.0,10.0
78,99,37.1693,0.15728280269337308,6.262646163609506,17.52401871036393,0,10,7.0,70.0,3.0,30.0
79,118,37.074000000000005,0.15313235164834,5.795667885082429,16.573063779810433,0,10,7.0,70.0,3.0,30.0
80,295,36.6549,0.13700077204375044,6.124192971905762,17.00155859074041,0,10,6.0,60.0,4.0,40.0
81,216,36.563900000000004,0.13588432309485907,5.776917241632928,16.462826457447626,0,10,6.0,60.0,4.0,40.0
82,79,35.855900000000005,0.1464519287095202,5.445740415196921,15.830485018957969,0,10,7.0,70.0,3.0,30.0
83,106,35.409200000000006,0.1458489841482581,5.638885393751757,15.953273606356476,0,10,6.0,60.0,4.0,40.0
84,204,35.2259,0.17274530176477687,5.948729580136275,16.89740819182503,0,10,8.0,80.0,2.0,20.0
85,150,35.1694,0.1596622959718016,5.473118160772244,15.946185353096961,0,10,5.0,50.0,5.0,50.0
86,105,35.0876,0.16914395502077134,5.721196768029274,16.424121545704118,0,10,8.0,80.0,2.0,20.0
87,252,34.625400000000006,0.15406437128596578,5.693897706961749,16.35632053213272,0,10,6.0,60.0,4.0,40.0
88,161,34.391200000000005,0.16078046866268958,5.640714756443242,16.190421487068257,0,10,7.0,70.0,3.0,30.0
89,83,34.3797,0.19035192894011138,5.767827279539608,16.53438094222414,0,10,10.0,100.0,,
90,289,34.236000000000004,0.2158292130655791,5.38923515587544,15.769884663104815,0,10,9.0,90.0,1.0,10.0
91,156,34.1131,0.177029397233955,5.64699489499205,16.267300584234793,0,10,6.0,60.0,4.0,40.0
92,245,33.9244,0.1589681423213966,5.727491163198848,16.406893872856973,0,10,7.0,70.0,3.0,30.0
93,184,33.771499999999996,0.20735904933532145,6.69719830804801,18.2585181263127,0,10,10.0,100.0,,
94,198,33.706599999999995,0.16142663716132472,5.354295435019198,15.647595058602525,0,10,7.0,70.0,3.0,30.0
95,183,33.6865,0.1765581708738298,6.021865087202852,16.719232993258665,0,10,9.0,90.0,1.0,10.0
96,89,33.5769,0.16704239138361185,5.798147535059252,16.554115887533847,0,10,7.0,70.0,3.0,30.0
