rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,running_count,running_percentage,timeout_count,timeout_percentage,success_count,success_percentage
32,243,50.0,0.06726084208347266,8.242311468251478,11.601618981425496,20.0,20,15.0,75.0,1.0,5.0,4.0,20.0
33,248,50.0,0.007905072629430155,8.129102387748212,11.272852772419522,5.0,20,9.0,45.0,10.0,50.0,1.0,5.0
34,252,50.0,0.06352734986320459,8.17816026606636,11.387795413923499,20.0,20,15.0,75.0,1.0,5.0,4.0,20.0
35,253,50.0,0.010813071838052435,8.141594309743205,11.344184430922288,5.0,20,19.0,95.0,,,1.0,5.0
36,258,50.0,0.07905334488587942,8.575004014668815,12.267004074260166,25.0,20,12.0,60.0,3.0,15.0,5.0,25.0
37,259,50.0,0.007750024607659965,8.292681330688314,11.796243300370056,5.0,20,18.0,90.0,1.0,5.0,1.0,5.0
38,262,50.0,0.0,7.862157626920191,10.935195892833814,0.0,20,17.0,85.0,3.0,15.0,,
39,263,50.0,0.017692365608925165,8.828844286165841,12.68916345412247,5.0,20,19.0,95.0,,,1.0,5.0
40,264,50.0,0.011257162249445434,7.6906681055761315,10.48935130634572,5.0,20,16.0,80.0,3.0,15.0,1.0,5.0
41,274,50.0,0.0,7.861005519926586,10.857889529636498,0.0,20,17.0,85.0,3.0,15.0,,
42,278,50.0,0.04123483894202324,8.047026080754982,11.112324151864389,15.0,20,15.0,75.0,2.0,10.0,3.0,15.0
43,279,50.0,0.052236664031297966,8.141257752809176,11.330603959159081,15.0,20,13.0,65.0,4.0,20.0,3.0,15.0
44,286,50.0,0.0908690735063592,8.08559403650289,11.239171042834815,20.0,20,11.0,55.00000000000001,5.0,25.0,4.0,20.0
45,291,50.0,0.0,8.268512621393905,11.539520368384036,0.0,20,16.0,80.0,4.0,20.0,,
46,293,50.0,0.0,7.997672131399037,11.001497097890688,0.0,20,14.0,70.0,6.0,30.0,,
47,294,50.0,0.0846150876504252,8.261333769311195,11.525162664218612,20.0,20,11.0,55.00000000000001,5.0,25.0,4.0,20.0
48,296,50.0,0.07312666695089556,7.778423162264223,10.639841524496935,15.0,20,15.0,75.0,2.0,10.0,3.0,15.0
49,299,50.0,0.0,8.40724621878311,11.905500463384444,0.0,20,20.0,100.0,,,,
50,260,49.9339,0.10819786918654359,7.912408394061744,11.035697427116919,30.0,20,10.0,50.0,4.0,20.0,6.0,30.0
51,151,48.534499999999994,0.13666612985651075,8.942836118417256,12.917147118625289,30.0,20,10.0,50.0,4.0,20.0,6.0,30.0
52,84,48.512732577323916,0.12529884502327343,7.794684363449399,10.725247216682124,30.0,20,14.0,70.0,,,6.0,30.0
53,257,47.8726,0.11757474091524067,8.03799061697949,11.286861872952407,30.0,20,13.0,65.0,1.0,5.0,6.0,30.0
